meta,text,stats,simhash
"{'pmid': 11409603, 'language': 'eng'}","Relationships among types of speech intelligibility in pediatric users of cochlear implants.
Twenty pediatric users of cochlear implants were administered three tests of speech intelligibility: (1) a test of contrast perception intelligibility, (2) a test of contrast production intelligibility, and (3) a test of production sentence intelligibility. Sixty adults with normal hearing served as listener judges for the two speech production tasks, and percent correct scores were generated for each of the three tasks. Correlational analyses showed significant correlations among overall scores for the three tasks. However, scores for individual feature classes from the contrast perception task were not correlated with their corresponding contrast production feature class scores, and only some of the feature class scores were correlated significantly with sentence intelligibility. We conclude that although these three types of intelligibility are related at a gross level, relationships are more tenuous at finer levels of analysis, suggesting that the separate skills may need to be addressed separately in remediation. As a result of this activity, the participant will be able to differentiate various methods for assessing speech intelligibility and describe the relationships among different types of speech intelligibility in pediatric users of cochlear implants.","{'alnum_ratio': 0.8436363636, 'avg_line_length': 687.5, 'char_rep_ratio': 0.1105417277, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9591754675, 'max_line_length': 1282, 'num_words': 242, 'perplexity': 329.8, 'special_char_ratio': 0.1585454545, 'text_len': 1375, 'word_rep_ratio': 0.0686695279}",5.309145966879206e+18
"{'pmid': 11409604, 'language': 'eng'}","Third person pronoun errors by children with and without language impairment.
Research findings have been mixed about pronoun case problems in the language-learning profile of children with specific language impairment (SLI). This study (N= 36) extended previous findings and located a number of error patterns using detailed error analyses. Results indicated that the children with expressive SLI produced more errors with third person singular (3Psg) pronouns than did their age-level peers, but they did not make more errors than their MLU-matched peers. Error patterns were similar in the children with SLI and their language-level peers. The most frequent type of error was the substitution of the objective case for the nominative case. More errors were made on the feminine pronoun, she, than on the masculine pronoun, he. Implications for theories and clinical practice were explored. As a result of this activity, the reader will (1) learn how children with SLI compare to their peers in producing third person pronouns, (2) learn the most common types of pronoun errors made by the children matched for mean length of utterance (MLU), and (3) evaluate how the findings relate to two current theories: one from typical language development and one from the area of SLI.","{'alnum_ratio': 0.8145539906, 'avg_line_length': 639.0, 'char_rep_ratio': 0.0772261623, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9652271271, 'max_line_length': 1200, 'num_words': 228, 'perplexity': 664.7, 'special_char_ratio': 0.1901408451, 'text_len': 1278, 'word_rep_ratio': 0.0}",1.255716506439096e+19
"{'pmid': 11409606, 'language': 'eng'}","Family education seminars and social functioning of adults with chronic aphasia.
Aphasia affects functional activities and participation in social roles years after onset. Some group and individual programs have reported success in improving social activities and perceived wellness. These programs typically last several weeks or months. A short, 2-day seminar style program designed for adults with chronic aphasia and their families is described in this report. Six-month follow-up data from participant pairs demonstrates a significant improvement in functional activity level, improved knowledge of aphasia, and improved family relationships. Nonparticipant pairs did not demonstrate any changes over the same period. These findings replicate and extend those of a previous study on the same 2-day seminar [Top. Stroke Rehabil. 2 (1995) 53.]. The results of this study demonstrate the important outcomes of even a very brief program designed to address the long-term psychosocial needs of adults living with aphasia and their families. As a result of this activity, the participant will be able to: (1) describe a brief family education seminar for adults with chronic aphasia; (2) discuss outcomes in family adjustment, community reintegration, and activities of daily living associated with participation in a family education seminar; and (3) evaluate areas of programming and outcomes that should be addressed in future research.","{'alnum_ratio': 0.8289290682, 'avg_line_length': 719.0, 'char_rep_ratio': 0.0741777467, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9348750114, 'max_line_length': 1357, 'num_words': 233, 'perplexity': 521.1, 'special_char_ratio': 0.1794158554, 'text_len': 1438, 'word_rep_ratio': 0.0}",2.9026590785232087e+18
"{'pmid': 11409607, 'language': 'eng'}","Differentiating dialect from disorder: a comparison of two processing tasks and a standardized language test.
Previous research has indicated that norm-referenced language assessment protocols are often biased against dialectal speakers. Recently, the use of processing tasks has emerged as one possible means of reducing this bias in language testing. Processing tasks measure a child's ability to process and manipulate language rather than tap previous linguistic knowledge. The present study utilized 40 subjects between the ages of 7;0 and 7;3 in the following equal groupings: White normal language, White language impaired, African American normal language, African American language impaired. The subjects were administered the Test of Language Development-2P (TOLD-2P), the Nonword Repetition Task (NRT), and the Competing Language Processing Task (CLPT). Results indicated that all three measures differentiated normal-language and language-impaired subjects from one another. With regard to cultural group, confirmed speakers of African American English (AAE) with normal language scored significantly lower on the TOLD-2P compared to White normal-language subjects. Scores of the AAE-speaking subjects with normal language on the NRT and CLPT, however, did not differ significantly from the White normal-language subjects. These results suggest that AAE speakers with normally developing language (LN) may be at a disadvantage on tests of prior language knowledge and that processing tasks may be a useful tool in combination with other assessment measures to make less biased clinical decisions. As a result of this activity, the reader will (1) be able to determine the utility of processing tasks in culturally unbiased language assessment. (2) The reader will be able to discriminate the difference between the results of a standardized language test and processing tasks on speakers of AAE.","{'alnum_ratio': 0.8300996329, 'avg_line_length': 953.5, 'char_rep_ratio': 0.0874604847, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9340106249, 'max_line_length': 1797, 'num_words': 318, 'perplexity': 656.1, 'special_char_ratio': 0.1756685894, 'text_len': 1907, 'word_rep_ratio': 0.0}",1.817206621226267e+19
"{'pmid': 11409609, 'language': 'eng'}","Low urethral pressure profile--clinical implications.
The clinical impact of urethral pressure profilometry (UPP) has been a main urological topic over the past three decades. Exaggerated expectations and differing techniques with incongruent results caused a controversial appearance. However, since the UPP is the only method to measure directly aspects of the urethral closure function, all types of sphincteric urinary incontinence represent indications for this measurement. Based on long-term experience this paper aims to discuss the various complexes regarding the urethral pressure profilometry. The significance of the urethral closure function for urinary continence and the urodynamic relevance of active and passive pressure transmission are described. In addition, clinical implications in terms of therapeutic strategies to treat urinary stress incontinence with regards to a low urethral pressure profile are presented.","{'alnum_ratio': 0.849197861, 'avg_line_length': 467.5, 'char_rep_ratio': 0.1079913607, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9021489024, 'max_line_length': 881, 'num_words': 167, 'perplexity': 281.2, 'special_char_ratio': 0.150802139, 'text_len': 935, 'word_rep_ratio': 0.0}",1.3616250005208195e+19
"{'pmid': 11409610, 'language': 'eng'}","Morphological and physiological characteristics of urethral circular and longitudinal smooth muscle.
The urethral wall contains circular and longitudinal smooth muscle. Both layers can develop spontaneous tone, and contract further or relax in response to excitatory or inhibitory stimuli. In the pig the cells do not generate action potentials, and the membranes possess L-type calcium channels and a variety of potassium channels which may modulate the membrane potential and tone. The importance of these layers in generating the urethral pressure is not well understood in the human, but it seems likely that the circular smooth muscle is involved in generating urethral pressure in the pig.","{'alnum_ratio': 0.8388489209, 'avg_line_length': 347.5, 'char_rep_ratio': 0.0816326531, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.8928546309, 'max_line_length': 594, 'num_words': 115, 'perplexity': 306.7, 'special_char_ratio': 0.1611510791, 'text_len': 695, 'word_rep_ratio': 0.0}",1.1707711415397929e+19
"{'pmid': 11409612, 'language': 'eng'}","Neurotransmission and drug effects in urethral smooth muscle.
Urethral smooth muscle tension is one of the factors contributing to the maintenance of intraurethral pressure and to continence. This tension is controlled by nervous mechanisms involving a complex pattern of efferent and afferent signalling in parasympathetic, sympathetic, and somatic nerves, with resulting release of contraction- and relaxation-producing transmitters and mediators. Sympathetic activity, via release of NA and stimulation of urethral smooth muscle alpha1-ARs, is the main contraction-producing factor. Among the three high affinity alpha1-AR subtypes identified in molecular cloning and functional studies, the alpha1A subtype seems to predominate in both the male and female urethra. The physiological role of the urethral beta-adrenoceptors has not been established, and the importance of muscarinic receptors (and subtypes) for urethral function is presently unclear. Nitric oxide, produced by nitric oxide synthase within cholinergic nerves, seems to be the predominant inhibitory neurotransmitter, but there is good evidence for the existence of other, as yet unidentified, non-adrenergic, non-cholinergic inhibitory messengers. Vasoactive intestinal polypeptide, adenosine 5'-triphosphate, and carbon monoxide (CO) all relax urethral smooth muscle, and are potential candidates for the nonadrenergic, noncholinergic relaxation, but their roles for urethral function remain to be defined.","{'alnum_ratio': 0.8408937035, 'avg_line_length': 738.5, 'char_rep_ratio': 0.0715258856, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9114097357, 'max_line_length': 1415, 'num_words': 273, 'perplexity': 241.1, 'special_char_ratio': 0.1618144888, 'text_len': 1477, 'word_rep_ratio': 0.0}",1.5106853615710011e+19
"{'pmid': 11409613, 'language': 'eng'}","Neural control of the urethra.
Coordination between the urinary bladder and the urethra is mediated by multiple reflex pathways organized in the brain and spinal cord. Some reflexes promote urine storage; whereas other reflexes facilitate voiding. During bladder filling, activation of mechanoreceptor afferent nerves in the bladder wall triggers firing in the cholinergic efferent pathways to the external urethral sphincter (EUS) and in sympathetic adrenergic pathways to the urethral smooth muscle. These storage reflexes are dependent upon interneuronal circuitry in the spinal cord. During voiding the spinal storage reflexes are inhibited by supraspinal mechanisms which originate in the pontine micturition center. Glutamatergic, serotonergic and alpha, adrenergic excitatory transmission as well as GABAergic/glycinergic inhibitory transmission have been implicated in the central control of sphincter reflexes. During voiding, a parasympathetic nitrergic inhibitory input to the urethral smooth is activated. This reflex mechanism which is triggered by bladder afferents persists in paraplegic rats and therefore must be mediated at least in part by spinal interneuronal circuitry. In female rats, the parasympathetic nitrergic pathway is prominent; but in male rats it is obscured by a dominant parasympathetic cholinergic excitatory input to the urethral smooth muscle. The function of the cholinergic pathway in voiding is uncertain. Stimulation of urethral afferents can also influence bladder activity. Contraction of the external urethral sphincter activates afferents that inhibit reflex bladder contractions; whereas infusion of fluid through the urethra facilitates bladder contractions. These reflexes are also organized in the spinal cord and presumably play a role in urine storage and elimination. Alterations in primitive bladder-to-urethra and urethra-to-bladder reflex mechanisms may contribute to neurogenic bladder dysfunction.","{'alnum_ratio': 0.8490276356, 'avg_line_length': 977.0, 'char_rep_ratio': 0.0719794344, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9000626802, 'max_line_length': 1923, 'num_words': 401, 'perplexity': 232.0, 'special_char_ratio': 0.1509723644, 'text_len': 1954, 'word_rep_ratio': 0.0}",1.7355003168470958e+18
"{'pmid': 11409615, 'language': 'eng'}","Urethral pressure measurement--problems and clinical value.
Urethral pressure measurements are in use to assess urethral closure and voiding function. The lack of general agreement on an explicit definition of urethral pressure and standardisation of the methodology for measurement has limited the clinical utility of urethral pressure measurements.","{'alnum_ratio': 0.8542857143, 'avg_line_length': 175.0, 'char_rep_ratio': 0.1730205279, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.8863997459, 'max_line_length': 290, 'num_words': 59, 'perplexity': 365.0, 'special_char_ratio': 0.1457142857, 'text_len': 350, 'word_rep_ratio': 0.0}",1.7828998548268503e+19
"{'pmid': 11409616, 'language': 'eng'}","The clinical value of ambulatory urethral pressure recording in women.
The value of ambulatory urethral pressure recording (AUPR) was evaluated by reviewing both data from 116 patients investigated and Ambulatory Urodynamic Monitoring (AUM) tracings. Typical tracings are shown from conditions where we find that AUPR is of value. (i) Stress incontinence where a patient who complains of stress incontinence does not leak during the stress test, but leaks while jumping on a trampoline. (ii) Mixed incontinence--in only 43% of patients complaining of both urge ands stress incontinence mixed incontinence was documented by AUM. Thirty-six per cent of patients complaining of both urge and stress incontinence were found to be stress incontinent and 21% were leaking due to an unstable detrusor. (iii) Urethral closure pressure of 20 cmH2O or less (low urethral closure pressure; LUCP). LUCP was found in 13% of the patients. Patients with LUCP may leak due to stress, unstable detrusor or unstable urethra. We conclude that ambulatory recording of both urethral and bladder pressures in addition to leakage may contribute to a more complete diagnosis and treatment in these conditions.","{'alnum_ratio': 0.8210970464, 'avg_line_length': 592.5, 'char_rep_ratio': 0.1011904762, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9448544383, 'max_line_length': 1114, 'num_words': 262, 'perplexity': 429.0, 'special_char_ratio': 0.1890295359, 'text_len': 1185, 'word_rep_ratio': 0.0}",4.720209936247924e+18
"{'pmid': 11409618, 'language': 'eng'}","The innervation and properties of the urethral striated muscle.
The striated muscle forms an outer sleeve around the urethra and occupies about 80% of the wall. In humans more than 60% of the muscle consists of slow, fatigue resistant type I fibres whereas in male greyhounds only about 6% are type I. Most of the remainder (70% of fibres) are type IIa which are classified as fast but can contract for several hours with little decline in amplitude. Stimulation of pudendal but not pelvic nerves produces contraction of the striated muscle and a rapid increase in urethral pressure. Pelvic nerve branches enter the striated muscle sleeve but pass through it to supply the inner layer of smooth muscle. The striated muscles are well suited to maintain contraction necessary for continence.","{'alnum_ratio': 0.8187579214, 'avg_line_length': 394.5, 'char_rep_ratio': 0.1, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9449449778, 'max_line_length': 725, 'num_words': 151, 'perplexity': 556.7, 'special_char_ratio': 0.1901140684, 'text_len': 789, 'word_rep_ratio': 0.0}",9.293635307741684e+18
"{'pmid': 11409619, 'language': 'eng'}","The clinical value of sonographic imaging of the urethrovesical anatomy.
Ultrasound is a complementary evaluation for the study of female urinary incontinence which allows functional-morphological documentation. With sonography dynamic images during coughing, Valsalva, pelvic floor contraction and micturition are provided. Ultrasonography of the urethrovesical anatomy improves our thinking of function and anatomy and will therefore have an important place in the diagnosis and treatment of urogynecologic disorders.","{'alnum_ratio': 0.859344894, 'avg_line_length': 259.5, 'char_rep_ratio': 0.0862745098, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.8856821656, 'max_line_length': 446, 'num_words': 98, 'perplexity': 284.9, 'special_char_ratio': 0.140655106, 'text_len': 519, 'word_rep_ratio': 0.0}",1.481794643156116e+18
"{'pmid': 11409620, 'language': 'eng'}","The clinical value of dynamic magnetic resonance imaging in normal and incontinent women--a preliminary study on micturition.
In this preliminary study in nine volunteers and nine women with genuine stress incontinence (GSI) dynamic magnetic resonance imaging (MRI) was used to study the voiding phase in the sitting position after physiological filling of the bladder by urine. The MRI technique has been documented as being useful for this purpose, but in this small group of women it was not possible to determine any specific difference in the voiding pattern between the volunteers and the G","{'alnum_ratio': 0.8288590604, 'avg_line_length': 298.0, 'char_rep_ratio': 0.0783645656, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.929168582, 'max_line_length': 470, 'num_words': 108, 'perplexity': 262.5, 'special_char_ratio': 0.1711409396, 'text_len': 596, 'word_rep_ratio': 0.0}",5.102170299249687e+18
"{'pmid': 11409621, 'language': 'eng'}","Magnetic resonance imaging of the pelvic floor--possibilities and present status.
MRI has had both an increasing availability and fuctionality during the last 5-10 years. In diagnosing problems of the pelvic floor, it has been shown to have a potential, but is at present not to be considered a routine examination. Today's use of MRI of the pelvis includes anatomical/topographical images of high quality, but to make it a valuable diagnostic tool, functional imaging is mandatory. Functional MRI with a potential of simultaneously examining defecation, micturition, bladder motion and pelvic floor muscles, seems promising, but with having practical problems. The use of open MRI systems reduce the practical problems, but does not give the optimum image quality. In the future it is likely that MRI will have an increasing importance concerning diagnoses of the pelvic floor. However, clinical research is needed to evaluate the possible diagnostic gains, and maybe even open for more use of MRI.","{'alnum_ratio': 0.8218218218, 'avg_line_length': 499.5, 'char_rep_ratio': 0.0797979798, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9621401429, 'max_line_length': 917, 'num_words': 181, 'perplexity': 265.3, 'special_char_ratio': 0.1811811812, 'text_len': 999, 'word_rep_ratio': 0.0}",1.665839619390122e+19
"{'pmid': 11409622, 'language': 'eng'}","Stress incontinence observed with real time sonography and dynamic fastscan magnetic resonance imaging--insights into pathophysiology.
Our concepts of pathophysiology of stress urinary continence have been greatly shaped by developments in radiographic imaging. Simple radiographs with and without contrast initially revealed the importance of urethral descent in pathogenesis. More recently, magnetic resonance imaging (MRI) and real time ultrasonography are showing soft tissue detail within both a global pelvic and a local urethral context. Careful examination of these studies can extend our concepts of pathophysiology and lead us beyond existing paradigms. We propose a unified theory of stress incontinence based on our dynamic fastscan MRI and real time ultrasonograms of stress incontinence, incorporating known details of pelvic anatomy, sphincteric location and function. The hypothesis introduces the concept of a continence threshold at which the urethra is subjected simultaneously to both shearing and explusive forces. If these forces are sufficient to overcome urethral coaptation at threshold, leakage results. The model proposes an anatomical sequence of changes through which the incontinent urethra cycles between periods of rest and increased abdominal pressure, and suggests a way in which repeated episodes of prolpase and urethral traction by shearing forces exerted by the vagina on the urethra may contribute to the development of intrinsic sphincteric deficiency.","{'alnum_ratio': 0.8485254692, 'avg_line_length': 746.0, 'char_rep_ratio': 0.0674308833, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9098111987, 'max_line_length': 1357, 'num_words': 276, 'perplexity': 395.8, 'special_char_ratio': 0.1514745308, 'text_len': 1492, 'word_rep_ratio': 0.0}",6.603080496754264e+18
"{'pmid': 11409623, 'language': 'eng'}","Stenotherms at sub-zero temperatures: thermal dependence of swimming performance in Antarctic fish.
We examined the burst swimming performance of two Antarctic fishes, Trematomus bernacchii and T. centronotus, at five temperatures between -1 degrees C and 10 degrees C. As Antarctic fishes are considered one of the most cold specialised and stenothermal of all ectotherms, we predicted they would possess a narrow thermal performance breadth for burst swimming and a correlative decrease in performance at high temperatures. Burst swimming was assessed by videotaping swimming sequences with a 50-Hz video camera and analysing the sequences frame-by-frame to determine maximum velocity, the distance moved throughout the initial 200 ms, and the time taken to reach maximum velocity. In contrast to our prediction, we found both species possessed a wide thermal performance breadth for burst swimming. Although maximum swimming velocity for both T. bernacchii and T. centronotus was significantly highest at 6 degrees C, maximum velocity at all other test temperatures was less than 20% lower. Thus, it appears that specialisation to a highly stable and cold environment is not necessarily associated with a narrow thermal performance breadth for burst swimming in Antarctic fish. We also examined the ability of the Antarctic fish Pagothenia borchgrevinki to acclimate their burst-swimming performance to different temperatures. We exposed P. borchgrevinki to either -1 degrees C or 4 degrees C for 4 weeks and tested their burst-swimming performance at four temperatures between -1 degrees C and 10 degrees C. Burst-swimming performance of Pagothenia borchgrevinki was unaffected by exposure to either -1 degrees C or 4 degrees C for 4 weeks. Maximum swimming velocity of both acclimation groups was thermally independent over the total temperature range of 1 degrees C to 10 degrees C. Therefore, the loss of any capacity to restructure the phenotype and an inability to thermally acclimate swimming performance appears to be associated with inhabiting a highly stable thermal environment.","{'alnum_ratio': 0.8322179732, 'avg_line_length': 1046.0, 'char_rep_ratio': 0.1108977436, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9435163736, 'max_line_length': 1992, 'num_words': 400, 'perplexity': 770.8, 'special_char_ratio': 0.1787762906, 'text_len': 2092, 'word_rep_ratio': 0.0204603581}",1.500382157667583e+18
"{'pmid': 11409624, 'language': 'eng'}","Ionic balance in the freshwater-adapted Chinese crab, Eriocheir sinensis.
Ionic regulation by the gills of the freshwater-adapted Chinese crab, Eriocheir sinensis, was examined. The balance of uptake and loss of NaCl in crabs living in freshwater was established. Urine production was measured directly by cannulating the nephropores. Daily urinary loss of Na+ is equivalent to 16% of the haemolymph Na+ content and is substantially higher than that based on data from indirect measurements reported in the literature. Weight and area of anterior and posterior gills are proportional to body weight. The role of the gills in compensating urinary loss by uptake was determined by analysing changes in Na+ and Cl- concentrations in the external medium in which isolated perfused gills were suspended. In posterior gills, salt loss is quantitatively balanced by NaCl net uptake from an external concentration of 1.3 mmol l(-1) NaCl upwards. The transport constant (Kt) for half maximum saturation of net uptake and saturation of NaCl uptake are 1.5 mmol l(-1) and 4 mmol l(-1), respectively. In contrast to previous studies in which tracer fluxes or transepithelial short-circuit currents were determined, our method of direct ion determination shows that no net uptake of Na+ or Cl- occurs in posterior gills in the absence of the respective counter ion, or when uptake of one ion is blocked by a specific inhibitor. Net uptake of Na+ and Cl- was about equal. We conclude that the uptake of the two ions is coupled. The properties of the branchial ion uptake of E. sinensis correlates with the distribution of this crab in river systems.","{'alnum_ratio': 0.8116207951, 'avg_line_length': 817.5, 'char_rep_ratio': 0.0602706027, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9446725249, 'max_line_length': 1561, 'num_words': 339, 'perplexity': 412.1, 'special_char_ratio': 0.1944954128, 'text_len': 1635, 'word_rep_ratio': 0.0181818182}",3.8358651114755077e+18
"{'pmid': 11409625, 'language': 'eng'}","Lymph osmolality and rehydration from NaCl solutions by toads, Bufo marinus.
Toads, Bufo marinus, allowed to maintain an ad libitum state of hydration were dehydrated by 10 15% of their standard weight and allowed to rehydrate from either deionized water or from 10 or 50 mmol l(-1) NaCl solutions. Toads rehydrating from the dilute salt solutions recovered a larger fraction of their standard weight than did toads rehydrating from deionized water despite there being a reduced osmotic gradient. Amiloride did not reduce water gain from these solutions. Water uptake from 100 mmol l(-1) sucrose and 50 mmol l(-1) Na gluconate was reduced relative to deionized water by a fraction predicted from the osmotic gradient. Thus, the presence of both Na+ and Cl- are required for the augmentation of water gain from dilute salt solutions. Toads allowed to rehydrate from 120 mmol l(-1) NaCl for 180 min recovered nearly as much water as toads rehydrating from deionized water for 120 min and the lymph osmolality was not reduced relative to the dehydrated condition. The recovery of water from the salt solution was greater than that predicted from the reduced osmotic gradient and amiloride partially inhibited the rehydration from 120 mmol l(-1) NaCl. Solute coupled water transport can therefore be demonstrated in living animals but only from a NaCl solution that is nearly isoosmotic with the lymph. The mechanism for enhanced water gain from dilute salt solutions remains unresolved.","{'alnum_ratio': 0.8192852326, 'avg_line_length': 741.5, 'char_rep_ratio': 0.0895522388, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9489380717, 'max_line_length': 1406, 'num_words': 326, 'perplexity': 552.1, 'special_char_ratio': 0.2009440324, 'text_len': 1483, 'word_rep_ratio': 0.0126182965}",6.223261941197349e+18
"{'pmid': 11409626, 'language': 'eng'}","Differential catabolism of muscle protein in garden warblers (Sylvia borin): flight and leg muscle act as a protein source during long-distance migration.
Samples of flight and leg muscle tissue were taken from migratory garden warblers at three different stages of migration: (1) pre-flight: when birds face an extended flight phase within the next few days, (2) post-flight: when they have just completed an extended flight phase, and (3) recovery: when they are at the end of a stop-over period following an extended flight phase. The changes in body mass are closely related to the changes in flight (P<0.001) and leg muscle mass (P<0.001), suggesting that the skeletal muscles are involved in the protein metabolism associated with migratory flight. From pre- to post-flight, the flight and the leg muscle masses decrease by about 22%, but are restored to about 12% above the pre-flight masses during the recovery period. Biochemical analyses show that following flight a selective reduction occurred in the myofibrillar (contractile) component of the flight muscle (P<0.01). As this selective reduction accounts only for a minor part of the muscle mass changes, sarcoplasmic (non-contractile) and myofibrillar proteins of both the flight and leg muscle act as a protein source during long-distance migration. As a loss of leg muscle mass is additionally observed besides the loss in flight muscle mass, mass change seems not to be strictly associated with the mechanical power output requirements during flight. Whereas the specific content of sarcoplasmic proteins in the flight muscle is nearly twice as high as that in the leg muscle (P<0.001), the specific content of myofibrillar proteins differs only slightly (P < 0.05), being comparably low in both muscles. The ratio of non-contractile to contractile proteins in the flight muscle is one of the highest observed in muscles of a vertebrate.","{'alnum_ratio': 0.8088235294, 'avg_line_length': 952.0, 'char_rep_ratio': 0.0828496042, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9573959112, 'max_line_length': 1749, 'num_words': 349, 'perplexity': 449.0, 'special_char_ratio': 0.2043067227, 'text_len': 1904, 'word_rep_ratio': 0.0235294118}",2.458193478224385e+18
"{'pmid': 11409627, 'language': 'eng'}","A Na+-dependent electrogenic glutamate transporter current in voltage-clamped cells of corpora allata in the cricket Gryllus bimaculatus.
Application of L-glutamate (1 mM) to corpora allata cells of the adult male cricket Gryllus bimaculatus caused a membrane depolarization of 5.9+/-0.3 mV (mean +/- SE) from a resting potential of -62.2+/-1.3 mV (n=57). The underlying mechanism for this depolarization was studied by applying the two-electrode voltage-clamp technique. Application of L-glutamate (1 mM) elicited an inward current that peaked at 8.1+/-0.7 nA (n = 73) at a holding potential of-50 mV. Both L- and D-aspartate also induced an inward current of almost the same amplitude as L-glutamate, whereas D-glutamate failed to induce an inward current. Glutamate receptor agonists, such as kainate, quisqualate, alpha-amino-3-hydroxy-5-methyl isoxazole-4-propionic acid, and N-methyl-D-aspartate, were ineffective in eliciting inward currents. The glutamate-induced inward current did not reverse even when the holding potential was set to +40 mV. The replacement of extracellular Na+ with choline+ eliminated the inward current. These results strongly suggest that the current induced by glutamate is mediated by a glutamate transporter rather than a glutamate receptor. We further examined the effects of 12 amino acid analogs which are known to be selective inhibitors of the mammalian excitatory amino acid transporters (EAATs) on the corpora allata transporter. From the effects of these inhibitors, we conclude that the glutamate transporter expressed in corpora allata cells of the cricket is similar to the high affinity glutamate transporters cloned from human brain, especially EAAT1 and EAAT3. Unlike mammalian transporters, however, serine-O-sulfate has the most potent action, suggesting the unique feature of the glutamate transporter expressed in the corpora allata.","{'alnum_ratio': 0.813990461, 'avg_line_length': 943.5, 'char_rep_ratio': 0.1027689031, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9129479527, 'max_line_length': 1749, 'num_words': 374, 'perplexity': 393.3, 'special_char_ratio': 0.2019077901, 'text_len': 1887, 'word_rep_ratio': 0.0}",6.997952127046099e+17
"{'pmid': 11409628, 'language': 'eng'}","Free fatty acids digested from pollen and triolein in the honeybee (Apis mellifera carnica Pollmann) midgut.
Honey bees satisfy their lipid requirement by consuming pollen. The free fatty acid content of the midgut was used to quantify fat digestion. Midguts extracted from younger workers of known ages and from foragers were divided into three components: endoperitrophic region (peritrophic membrane with gut contents), extraperitrophic region and intestinal wall. Both the total amount of pollen and the amount of free fatty acids in the endoperitrophic region and in the intestinal wall depend on the bee's age. The amounts increase within the 1st 3 days of a honey bee's life, reach maxima around the age of 8 days and then decrease continuously to the lowest values, measured in forager bees. Forced feeding with triacylglycerol results in significantly higher levels of free fatty acids, especially in the endoperitrophic region, in 8-day-old bees and foragers. This indicates that lipolytic activity depends on age and that the free fatty acid content in 8-day-old bees is primarily limited by the amount and availability of lipids ingested. The results show further that fat digestion depends on the functional status of honey bees, as is the case for pollen consumption, speed of transport of pollen bolus through the alimentary canal and protein digestion.","{'alnum_ratio': 0.8245614035, 'avg_line_length': 684.0, 'char_rep_ratio': 0.0853568801, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.923017025, 'max_line_length': 1259, 'num_words': 278, 'perplexity': 419.6, 'special_char_ratio': 0.1790935673, 'text_len': 1368, 'word_rep_ratio': 0.0}",3.698458132108083e+18
"{'pmid': 11409629, 'language': 'eng'}","Plasticity of myosin heavy chain expression with temperature acclimation is gradually acquired during ontogeny in the common carp (Cyprinus carpio L.).
Common carp (Cyprinus carpio L.) were reared from hatching until 61 mm total length (TL) at 21 degrees C. At 14 weeks and 20 weeks post-hatch, corresponding to initial lengths of 30 mm and 44 mm respectively, fish were acclimated to 10 degrees C using a rate of cooling of 1 degrees C per day. A statistical model was used to compare the time course in the change of white muscle myofibrillar ATPase activity with temperature acclimation. The myosin heavy chain (MHC) composition of white muscle myofibrils was investigated using peptide mapping. A significant increase in myofibrillar ATPase activity was observed after 2-3 weeks in the 44 mm group, but not until 4-5 weeks in the 30 mm group. when they had reached 37 mm TL. The MHC banding pattern of 120 mm TL fish acclimated to 10 degrees C or 21 degrees C for a minimum of 6 weeks were distinct from each other. The MHC peptide map characteristic of 10-degrees C-acclimated fish was not observed in individuals less than 37 mm length. We therefore conclude that the capacity to alter the composition and properties of myofibrils with cold acclimation is acquired in juvenile carp at around 37 mm TL.","{'alnum_ratio': 0.8094873757, 'avg_line_length': 653.5, 'char_rep_ratio': 0.062403698, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9544357657, 'max_line_length': 1155, 'num_words': 286, 'perplexity': 568.7, 'special_char_ratio': 0.220351951, 'text_len': 1307, 'word_rep_ratio': 0.0}",1.7146844934885124e+19
